Function,Count,Inclusive time (ms),Inclusive time %,Exclusive time (ms),Exclusive time %,Avg time (ms),Max time (ms),Min time (ms),Function type,URL,Line number,Worker Id
Anonymous function,"18,063",14.01,0.24,14.01,0.24,0.00,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"28,454",0
num,"25,312",14.01,0.24,9.01,0.15,0.00,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"41,261",0
Anonymous function,160,14.01,0.24,3.00,0.05,0.09,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"18,671",0
Anonymous function,"1,045",14.01,0.24,0.00,0.00,0.01,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"29,288",0
style,16,14.01,0.24,0.00,0.00,0.88,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"18,670",0
d3_selectionPrototype.on,330,14.01,0.24,0.00,0.00,0.04,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"1,603",0
coerce,732,14.01,0.24,0.00,0.00,0.02,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"40,808",0
plots.supplyLayoutGlobalDefaults,16,13.01,0.22,0.00,0.00,0.81,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"46,056",0
exports.coerceFont,112,13.01,0.22,0.00,0.00,0.12,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"26,596",0
onAdd,330,12.01,0.20,4.00,0.07,0.04,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"1,628",0
joinPlotLayers,16,12.01,0.20,1.00,0.02,0.75,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"40,237",0
Anonymous function,340,12.01,0.20,0.00,0.00,0.04,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"19,833",0
_restyle,15,11.99,0.20,3.00,0.05,0.80,2.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"31,663",0
firstChild,"1,273",11.01,0.19,11.01,0.19,0.01,1.00,0.00,DOM,,0,0
parseInt,"28,206",11.01,0.19,11.01,0.19,0.00,1.00,0.00,Built-in,,0,0
Math.min,"70,780",10.01,0.17,10.01,0.17,0.00,1.00,0.00,Built-in,,0,0
ax.makeCalcdata,320,10.01,0.17,2.00,0.03,0.03,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"41,519",0
exports.valObjects.color.coerceFunction,656,10.01,0.17,0.00,0.00,0.02,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"26,414",0
parseFloat,"69,014",10.00,0.17,10.00,0.17,0.00,1.00,0.00,Built-in,,0,0
