Function,Count,Inclusive time (ms),Inclusive time %,Exclusive time (ms),Exclusive time %,Avg time (ms),Max time (ms),Min time (ms),Function type,URL,Line number,Worker Id
Anonymous function,943,1.00,0.02,1.00,0.02,0.00,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"36,730",0
adjustAutoMarginForLabels,64,1.00,0.02,1.00,0.02,0.02,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"36,869",0
traceHasBarsOrFill,352,1.00,0.02,1.00,0.02,0.00,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"37,003",0
Anonymous function,192,1.00,0.02,1.00,0.02,0.01,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"37,100",0
exports.valObjects.boolean.coerceFunction,720,1.00,0.02,1.00,0.02,0.00,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"26,363",0
Array.indexOf,"3,246",1.00,0.02,1.00,0.02,0.00,1.00,0.00,Built-in,,0,0
exports.dateTime2ms,50,1.00,0.02,1.00,0.02,0.02,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"26,697",0
Array.unshift,30,1.00,0.02,1.00,0.02,0.03,1.00,0.00,Built-in,,0,0
Object.toString,"8,076",1.00,0.02,1.00,0.02,0.00,1.00,0.00,Built-in,,0,0
lib.bBoxIntersect,21,1.00,0.02,1.00,0.02,0.05,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"27,547",0
Array.splice,443,1.00,0.02,1.00,0.02,0.00,1.00,0.00,Built-in,,0,0
lib.identity,224,1.00,0.02,1.00,0.02,0.00,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"27,556",0
lib.pushUnique,80,1.00,0.02,1.00,0.02,0.01,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"27,752",0
drawing.crispRound,258,1.00,0.02,1.00,0.02,0.00,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"17,122",0
lib.isPlotDiv,212,1.00,0.02,1.00,0.02,0.01,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"27,819",0
orderedCategories,16,1.00,0.02,1.00,0.02,0.06,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"40,911",0
drawing.tryColorscale,320,1.00,0.02,1.00,0.02,0.00,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"17,344",0
setConvert,32,1.00,0.02,1.00,0.02,0.03,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"41,236",0
ax.c2p,312,1.00,0.02,1.00,0.02,0.00,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"41,419",0
isDataArray,486,1.00,0.02,1.00,0.02,0.00,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"28,497",0
coerce,46,1.00,0.02,0.00,0.00,0.02,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"18,377",0
plot,16,1.00,0.02,0.00,0.00,0.06,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"18,506",0
setBarCenter,16,1.00,0.02,0.00,0.00,0.06,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"50,771",0
updatePositionAxis,16,1.00,0.02,0.00,0.00,0.06,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"50,794",0
asap,56,1.00,0.02,0.00,0.00,0.02,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"10,135",0
Anonymous function,8,1.00,0.02,0.00,0.00,0.13,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"10,189",0
flush,15,1.00,0.02,0.00,0.00,0.07,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"10,213",0
then,61,1.00,0.02,0.00,0.00,0.02,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"10,252",0
Anonymous function,11,1.00,0.02,0.00,0.00,0.09,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"10,266",0
publish,45,1.00,0.02,0.00,0.00,0.02,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"10,473",0
doAutoRange,16,1.00,0.02,0.00,0.00,0.06,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"30,695",0
invokeCallback,61,1.00,0.02,0.00,0.00,0.02,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"10,514",0
isReversed,260,1.00,0.02,0.00,0.00,0.00,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"20,175",0
Anonymous function,15,1.00,0.02,0.00,0.00,0.07,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"31,777",0
makeSelectorData,33,1.00,0.02,0.00,0.00,0.03,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"21,820",0
module.exports,16,1.00,0.02,0.00,0.00,0.06,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"22,289",0
d3_selection_classedRe,105,1.00,0.02,0.00,0.00,0.01,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"1,239",0
pushModule,160,1.00,0.02,0.00,0.00,0.01,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"45,805",0
plotAutoSize,1,1.00,0.02,0.00,0.00,1.00,1.00,1.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"46,100",0
Anonymous function,322,1.00,0.02,0.00,0.00,0.00,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"46,407",0
axes.clearTypes,15,1.00,0.02,0.00,0.00,0.07,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"35,128",0
d3.selectAll,1,1.00,0.02,0.00,0.00,1.00,1.00,1.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"1,592",0
d3_selection_on,330,1.00,0.02,0.00,0.00,0.00,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"1,616",0
axes.tickText,943,1.00,0.02,0.00,0.00,0.00,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"36,022",0
formatLinear,161,1.00,0.02,0.00,0.00,0.01,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"36,193",0
draw,33,1.00,0.02,0.00,0.00,0.03,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"24,320",0
draw,16,1.00,0.02,0.00,0.00,0.06,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"14,078",0
moreDates,2,1.00,0.02,0.00,0.00,0.50,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"37,306",0
category,2,1.00,0.02,0.00,0.00,0.50,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"37,324",0
Array.filter,193,1.00,0.02,0.00,0.00,0.01,1.00,0.00,Built-in,,0,0
fx.supplyLayoutDefaults,16,1.00,0.02,0.00,0.00,0.06,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"38,638",0
coerce,32,1.00,0.02,0.00,0.00,0.03,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"38,640",0
exports.isDateTime,50,1.00,0.02,0.00,0.00,0.02,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"26,796",0
drawing.lineGroupStyle,330,1.00,0.02,0.00,0.00,0.00,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"17,145",0
ax.c2d,64,1.00,0.02,0.00,0.00,0.02,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"41,481",0
queue.add,15,1.00,0.02,0.00,0.00,0.07,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"29,011",0
module.exports,16,1.00,0.02,0.00,0.00,0.06,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"50,250",0
coerce,64,1.00,0.02,0.00,0.00,0.02,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"50,251",0
Math.log,190,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Built-in,,0,0
defaultView,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DOM,,0,0
exports.roundUp,32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"29,255",0
removeListener,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DOM,,0,0
Math.pow,137,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Built-in,,0,0
roundWithLine,56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"50,370",0
Math.random,370,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Built-in,,0,0
event,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DOM,,0,0
document,17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DOM,,0,0
getElementById,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DOM,,0,0
classList,"1,093",0.00,0.00,0.00,0.00,0.00,0.00,0.00,DOM,,0,0
Number.toString,126,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Built-in,,0,0
add,21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DOM,,0,0
applyAttributes,16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"50,687",0
exports.xml_entity_encode,41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"29,448",0
String.slice,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Built-in,,0,0
setAttributeNS,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DOM,,0,0
String.charAt,"1,081",0.00,0.00,0.00,0.00,0.00,0.00,0.00,Built-in,,0,0
supplyLayoutDefaults,16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"18,830",0
String.match,373,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Built-in,,0,0
String.split,658,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Built-in,,0,0
getComputedStyle,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DOM,,0,0
String.substr,661,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Built-in,,0,0
Anonymous function,160,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"51,132",0
isView,"1,446",0.00,0.00,0.00,0.00,0.00,0.00,0.00,DOM,,0,0
draw,16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"18,888",0
createElement,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DOM,,0,0
Anonymous function,160,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"51,137",0
String.toLowerCase,81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Built-in,,0,0
convertEntities,37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"29,660",0
String.toUpperCase,32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Built-in,,0,0
String.trim,270,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Built-in,,0,0
objectOrFunction,31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"10,112",0
isRightAnchor,67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"19,094",0
isFunction,41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"10,116",0
isCenterAnchor,67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"19,101",0
isBottomAnchor,67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"19,108",0
isMiddleAnchor,67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"19,115",0
right,"1,599",0.00,0.00,0.00,0.00,0.00,0.00,0.00,DOM,,0,0
RegExp.exec,527,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Built-in,,0,0
RegExp.test,"16,691",0.00,0.00,0.00,0.00,0.00,0.00,0.00,Built-in,,0,0
Anonymous function,330,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"19,434",0
onmouseout,32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DOM,,0,0
body,16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DOM,,0,0
Anonymous function,16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"10,268",0
setInterval,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DOM,,0,0
clearInterval,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DOM,,0,0
exports.clearPromiseQueue,15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"29,999",0
getThen,31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"10,341",0
exports.cleanLayout,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"30,010",0
exports.cleanData,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"30,171",0
Anonymous function,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"30,176",0
Array.join,110,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Built-in,,0,0
emptyContainer,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"30,341",0
exports.coerceTraceIndices,15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"30,376",0
handleMaybeThenable,31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"10,401",0
_resolve,46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"10,417",0
addFrames,16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"30,510",0
subscribe,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"10,458",0
tryCatch,46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"10,505",0
d3_array,103,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,546,0
d3_documentElement,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,550,0
legendGetsTrace,420,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"20,163",0
isGrouped,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"20,167",0
cleanUp,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"30,775",0
isVertical,34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"20,171",0
nextId,37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"10,567",0
Anonymous function,16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"30,796",0
Enumerator,16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"10,578",0
setPlotContext,16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"30,807",0
Anonymous function,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"30,812",0
all,16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"10,721",0
Promise,77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"10,961",0
isFinite,324,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Built-in,,0,0
EventEmitter,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"11,275",0
Array.shift,15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Built-in,,0,0
EventEmitter.prototype.emit,68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"11,300",0
manageModeBar,33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"20,984",0
Anonymous function,15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"31,657",0
a0,15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"31,782",0
isUndefined,44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"11,553",0
Anonymous function,150,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"31,782",0
d3_Map,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,852,0
set,256,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,861,0
Anonymous function,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"32,058",0
d3_map_escape,99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,885,0
d3_map_has,111,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,891,0
tinycolor.prototype.isValid,58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"11,902",0
tinycolor.prototype.getAlpha,95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"11,911",0
tinycolor.prototype.toRgb,113,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"11,971",0
tinycolor.prototype.toRgbString,48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"11,974",0
d3.requote,32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"1,089",0
Anonymous function,75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"1,093",0
d3_select,33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"1,102",0
handleDefaults,32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"22,212",0
makeRangeSliderData,16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"22,411",0
attrConstantNS,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"1,206",0
exports.drawMainTitle,33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"34,066",0
plots.previousPromises,65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"45,373",0
d3_selection_classes,38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"1,242",0
Anonymous function,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"45,400",0
module.exports.hasLines,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"54,990",0
module.exports.hasMarkers,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"54,995",0
module.exports.hasText,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"55,000",0
plots.createTransitionData,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"45,640",0
plots._hasPlotType,334,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"45,665",0
calcAutorange,16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"22,924",0
supplyLayoutDefaults,16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"23,062",0
boundAlpha,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"12,820",0
isOnePointZero,48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"12,863",0
isPercentage,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"12,868",0
supplyTransformDefaults,160,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"46,001",0
createNS,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"1,352",0
isValidCSSUnit,27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"12,930",0
plots.purge,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"46,249",0
plots.sanitizeMargins,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"46,320",0
update.enter,"1,461",0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"1,444",0
d3_selection_dataNode,69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"1,452",0
d3_selectionPrototype.order,16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"1,479",0
axes.counterLetter,27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"35,141",0
axes.minDtick,16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"35,151",0
axes.getAutoRange,32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"35,196",0
axes.saveRangeInitial,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"35,337",0
getPad,128,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"35,386",0
Anonymous function,80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"35,392",0
d3_selectionPrototype.size,309,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"1,531",0
Anonymous function,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"1,533",0
goodNumber,128,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"35,425",0
d3_selection_enter,74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"1,538",0
d3_selection_enterPrototype.insert,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"1,567",0
roundDTick,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"35,725",0
axes.tickIncrement,943,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"35,900",0
isHidden,943,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"36,041",0
d3_selection_onListener,36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"1,655",0
tickTextObj,943,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"36,069",0
formatCategory,782,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"36,187",0
slidersDefaults,16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"24,204",0
hasAx2,52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"36,350",0
axes.findSubplotsWithAxis,64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"36,410",0
Anonymous function,195,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"36,454",0
Anonymous function,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"36,458",0
makeSliderData,33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"24,389",0
Anonymous function,64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"36,513",0
